canonical_name           common_name         start      stop direction
png3025        pNG3025             14902     15459       for
png3026        pNG3026             15452     15652       for
png3027        pNG3027             15757     15909       for
png3028        pNG3028             15884     16204       for
png3029        repH2               16660     20061       for
png3030        pNG3030             21773     21976       for
png3032        pNG3032             23789     24958       for
png3034        tnp                 26358     25012       rev
png3035        pNG3035             26386     26538       for
png3037        sojB                27132     27998       for
png3039        pNG3039             27994     28461       for
png3040        pNG3040             28876     28478       rev
png3041        pNG3041             29080     29256       for
png3042        pNG3042             29469     29879       for
png3043        pNG3043             29879     30454       for
png3044        pNG3044             30464     30946       for
png3046        pNG3046             31303     31734       for
png3047        pNG3047             31800     31345       rev
png3048        pNG3048             32488     31901       rev
png3049        pNG3049             32956     32495       rev
png3050        pNG3050             33140     34861       for
png3051        pNG3051             34851     35654       for
png3052        pNG3052             35657     35983       for
png3053        mcm3                35979     37925       for
png3054        pNG3054             37931     39475       for
png4001        tnp                    92       973       for
png4002        pNG4002              1945      1487       rev
png4003        tnp                  2845      1997       rev
png4004        pNG4004              3054      3599       for
png4005        pNG4005              4282      4554       for
png4006        pNG4006              4101      3649       rev
png4007        pNG4007              4652      5062       for
png4008        pNG4008              6334      5081       rev
png4009        pNG4009              6794      6303       rev
png4010        pNG4010              7137      6805       rev
png4011        pNG4011              7394      8284       for
png4012        parA1                8284      9144       for
png4013        pNG4013              9144      9557       for
png4014        pNG4014             10453      9746       rev
png4015        pNG4015             10743     10456       rev
png4016        pNG4016             10990     11808       for
png4017        cpcE1               12945     11824       rev
png4018        pNG4018             13257     13526       for
png4019        htlD25              14027     13641       rev
png4020        boa                 14371     14967       for
png4021        pNG4021             14967     15383       for
png4022        pNG4022             15787     15476       rev
png4023        pNG4023             15826     16218       for
png4024        pNG4024             16729     16328       rev
png4025        pNG4025             17275     16910       rev
png4026        pNG4026             17384     17271       rev
png4027        pNG4027             17961     19496       for
png4028        pNG4028             20027     19560       rev
png4029        pNG4029             20053     20307       for
png4030        pNG4030             20877     20374       rev
png4032        tnp                 22178     20907       rev
png4033        pNG4033             23455     22280       rev
png4034        pNG4034             24329     24709       for
png4035        pNG4035             24875     25387       for
png4036        repH3               28915     25514       rev
png4037        pNG4037             29840     29355       rev
png4038        pNG4038             30049     29840       rev
png4039        pNG4039             30348     30052       rev
png4040        pNG4040             31085     31348       for
png4041        pNG4041             32537     30348       rev
png4042        pNG4042             32851     32540       rev
png4043        pNG4043             33528     32851       rev
png4044        pNG4044             33752     33988       for
png4045        pNG4045             34353     34646       for
png4046        pNG4046             37302     38111       for
png4047        pNG4047             38101     40230       for
png4049        cas3                40235     41305       for
png4050        pNG4050             41311     42105       for
png4051        pNG4051             42038     44716       for
png4052        cas4                44716     45285       for
png4053        cas1                45291     46280       for
png4054        cas2                46286     46546       for
png5001        abcP-1               1280       180       rev
png5003        yvrO-1               1983      1303       rev
png5004        pNG5004              3047      1983       rev
png5006        pNG5006              3844      3716       rev
png5007        tnp                  4540      5361       for
png5008        pNG5008              5842      5618       rev
png5009        pNG5009              5636      6124       for
png5010        pNG5010              7154      8029       for
png5011        pNG5011              8036     10540       for
png5012        tnp                 11624     10635       rev
png5013        pNG5013             11717     12493       for
png5014        pNG5014             12786     13337       for
png5015        pNG5015             14221     14051       rev
png5016        pNG5016             16217     14535       rev
png5017        pNG5017             17566     16271       rev
png5018        pNG5018             19670     17889       rev
png5019        sojE                19906     20682       for
png5020        pNG5020             20682     21074       for
png5021        pNG5021             21195     21557       for
png5022        tnp                 21705     22382       for
png5023        pNG5023             23048     22521       rev
png5024        pNG5024             23651     23061       rev
png5025        pNG5025             25900     25493       rev
png5026        pNG5026             25450     26118       for
png5027        cdc6o               27328     26105       rev
png5028        pNG5028             28987     28025       rev
png5029        pNG5029             29509     29198       rev
png5030        pNG5030             29690     29481       rev
png5031        pNG5031             29802     29599       rev
png5032        pNG5032             30110     29802       rev
png5033        pNG5033             30607     30113       rev
png5034        pNG5034             31298     31047       rev
png5035        pNG5035             31649     31308       rev
png5036        pNG5036             31834     32160       for
png5037        pNG5037             32160     32420       for
png5038        pNG5038             31887     30490       rev
png5039        pNG5039             32651     32869       for
png5040        pNG5040             33528     32914       rev
png5041        pNG5041             34398     34523       for
png5042        tnp                 35009     35641       for
png5043        tnp                 36981     35710       rev
png5044        pNG5044             37903     37655       rev
png5045        tnp                 38471     37848       rev
png5046        pNG5046             38696     38511       rev
png5047        doxD3               39153     38740       rev
png5048        pNG5048             39342     39545       for
png5049        pNG5049             39545     39823       for
png5050        pNG5050             40146     40280       for
png5051        pNG5051             40699     41412       for
png5052        usp8                42589     42176       rev
png5053        pNG5053             43386     44957       for
png5054        tnp                 45023     45322       for
png5055        pNG5055             45436     45732       for
png5056        tnp                 45725     46534       for
png5057        pNG5057             46598     46744       for
png5058        tnp                 46850     47449       for
png5059        pNG5059             47747     47499       rev
png5060        pNG5060             48205     48113       rev
png5061        pNG5061             48189     48923       for
png5062        pNG5062             49107     48961       rev
png5063        pNG5063             49992     51329       for
png5064        htl                 52957     51794       rev
png5065        pNG5065             55758     53290       rev
png5066        pNG5066             57411     55765       rev
png5067        pNG5067             58087     58683       for
png5068        pNG5068             59278     59544       for
png5069        pNG5069             61897     59618       rev
png5070        pNG5070             63561     61915       rev
png5071        pNG5071             63698     64129       for
png5072        tnp                 64751     64113       rev
png5073        pNG5073             65188     64898       rev
png5074        pNG5074             65282     65596       for
png5075        tnp                 65617     65991       for
png5076        tnp                 66432     67073       for
png5077        pNG5077             67532     67443       rev
png5078        pNG5078             69666     67783       rev
png5081        pNG5081             70597     70088       rev
png5082        pNG5082             71627     71833       for
png5083        pNG5083             72420     72872       for
png5084        pNG5084             72883     74952       for
png5085        pNG5085             74952     75782       for
png5086        pNG5086             75788     77446       for
png5087        trwB2               77449     80712       for
png5088        pNG5088             80708     81082       for
png5089        pNG5089             81082     81552       for
png5090        rlx                 81552     82304       for
png5091        traD                82403     84517       for
png5092        pNG5092             85636     85998       for
png5093        pNG5093             86032     86286       for
png5094        pNG5094             86536     86276       rev
png5095        pNG5095             88181     87033       rev
png5096        pNG5096             88505     89317       for
png5097        pNG5097             88752     89555       for
png5099        pNG5099             90133     89648       rev
png5100        pNG5100             90769     90635       rev
png5101        pNG5101             90401     90868       for
png5102        pNG5102             90868     91041       for
png5103        pNG5103             91277     91020       rev
png5104        pNG5104             92771     91659       rev
png5105        pNG5105             93196     92954       rev
png5106        pNG5106             93282     93452       for
png5107        pNG5107             93562     93455       rev
png5108        pNG5108             95487     93646       rev
png5109        pNG5109             95902     96879       for
png5110        pNG5110             96985     98112       for
png5111        pNG5111             99851     98835       rev
png5112        pNG5112            100496     99918       rev
png5113        abrB               100728    100973       for
png5114        pNG5114            100976    101404       for
png5115        pNG5115            102445    101456       rev
png5116        pNG5116            103424    102603       rev
png5117        pNG5117            103443    103808       for
png5118        pNG5118            103802    103485       rev
png5119        pNG5119            103917    104222       for
png5120        pNG5120            104608    104243       rev
png5121        sojD               105428    104604       rev
png5122        cdc6n              107549    106131       rev
png5123        tnp                107966    108643       for
png5124        tnp                109090    108671       rev
png5125        pNG5125            109493    109077       rev
png5126        pNG5126            110643    110416       rev
png5127        tnp                111328    111729       for
png5128        tnp                111734    112972       for
png5130        tnp                113640    114953       for
png5131        pNG5131            115360    115935       for
png5132        tnp                116162    116542       for
png5133        pNG5133            117202    118125       for
png5134        pNG5134            118252    118587       for
png5135        pNG5135            118988    118623       rev
png5136        pNG5136            119097    119261       for
png5137        tnp                119274    120176       for
png5138        csg1               121085    123745       for
png5139        tnp                125262    125570       for
png5140        pNG5140            125919    126230       for
png5141        pNG5141            126606    127478       for
png5142        tnp                129761    129162       rev
png5143        tnp                130312    129947       rev
png5144        pNG5144            130619    131386       for
png5145        pNG5145            131386    131682       for
png5146        pNG5146            131685    131939       for
png6001        pNG6001               158       718       for
png6002        pNG6002              2157       742       rev
png6003        pNG6003              3497      2157       rev
png6004        pNG6004              3691      4536       for
png6005        pNG6005              4536      5330       for
png6006        pNG6006              5401      5988       for
png6007        pNG6007              6049      6480       for
png6008        pNG6008              6846      6586       rev
png6009        pNG6009              6559      6909       for
png6010        pNG6010              7692      7000       rev
png6011        pNG6011              8363      7692       rev
png6012        parA2                8770      9585       for
png6013        pNG6013              9699      8707       rev
png6014        pNG6014              9585      9989       for
png6016        xerD                10266     11495       for
png6017        pNG6017             12185     11535       rev
png6019        cadA                14133     12217       rev
png6020        pNG6020             14353     14141       rev
png6021        pNG6021             14402     15076       for
png6022        trzA5               16575     15112       rev
png6023        pNG6023             16904     18295       for
png6024        pNG6024             18424     19020       for
png6025        pNG6025             19192     19509       for
png6026        pNG6026             19570     19920       for
png6027        pNG6027             20019     20432       for
png6028        pNG6028             20439     20789       for
png6029        trxA6               20916     21221       for
png6030        pNG6030             21244     21987       for
png6031        pNG6031             23027     22278       rev
png6032        pNG6032             23794     23027       rev
png6033        pNG6033             24485     23757       rev
png6034        pNG6034             25196     24597       rev
png6035        pNG6035             25396     25259       rev
png6036        mitN                26627     25749       rev
png6037        pNG6037             27006     26638       rev
png6038        pNG6038             27553     27062       rev
png6039        usp32               28010     29005       for
png6040        pNG6040             29560     29276       rev
png6041        pNG6041             30100     29570       rev
png6042        pNG6042             30216     30353       for
png6043        pNG6043             31595     30423       rev
png6044        pNG6044             32256     31627       rev
png6045        pNG6045             32846     32625       rev
png6046        copA3               35470     32867       rev
png6047        pNG6047             36182     35568       rev
png6048        merP                36284     36484       for
png6049        acnA                36559     39339       for
png6050        pNG6050             39752     39357       rev
png6051        pNG6051             40341     39784       rev
png6052        pNG6052             40579     40803       for
png6053        pNG6053             40810     41082       for
png6054        pNG6054             40572     41615       for
png6055        pNG6055             41752     41958       for
png6056        copA2               42093     44372       for
png6057        pNG6057             45584     44700       rev
png6058        pNG6058             45949     45656       rev
png6059        copA1               46312     48681       for
png6060        pNG6060             48942     48751       rev
png6061        pNG6061             50196     48988       rev
png6062        pNG6062             50744     50328       rev
png6063        hcp4                50958     51518       for
png6065        pNG6065             51625     52374       for
png6066        pNG6066             52661     52843       for
png6067        pan1b               54205     53054       rev
png6068        pNG6068             55099     54377       rev
png6069        dsbB2               55641     55201       rev
png6070        Trx                 56608     55625       rev
png6071        pNG6071             57330     56716       rev
png6072        tfbG                57401     58360       for
png6074        pNG6074             58424     58648       for
png6075        pNG6075             58693     59166       for
png6076        pNG6076             59166     59441       for
png6077        pNG6077             59441     60760       for
png6078        pNG6078             61167     60763       rev
png6079        czcD                62105     61173       rev
png6080        pNG6080             62564     62130       rev
png6081        zntA1               65250     62569       rev
png6082        pNG6082             65565     65380       rev
png6083        pNG6083             65990     65589       rev
png6084        pNG6084             66472     66735       for
png6085        pNG6085             66722     68230       for
png6086        pNG6086             69364     68297       rev
png6087        pNG6087             70655     69597       rev
png6088        pNG6088             71949     70645       rev
png6089        pNG6089             72613     72029       rev
png6090        pNG6090             72784     73119       for
png6091        pNG6091             73119     73634       for
png6092        pNG6092             74032     73712       rev
png6093        pNG6093             74136     74300       for
png6094        xseA1               74379     75428       for
png6095        exoVIIA             75435     75614       for
png6096        pNG6096             75765     76136       for
png6097        pNG6097             76248     76544       for
png6098        pNG6098             76771     76571       rev
png6099        pNG6099             76911     77330       for
png6100        pNG6100             77360     76863       rev
png6101        pNG6101             77359     79011       for
png6102        pNG6102             79014     79913       for
png6103        pNG6103             79909     81279       for
png6104        pNG6104             81289     82299       for
png6105        trwB3               82299     84380       for
png6107        traG/traD           84376     88743       for
png6108        pNG6108             88786     90798       for
png6109        pNG6109             92824     90848       rev
png6111        pNG6111             93350     93637       for
png7125        ureA               123171    123554       for
png7126        ureG               123554    124174       for
png7127        ureD               124177    125073       for
png7128        ureE               125076    125654       for
png7129        ureF               125654    126340       for
png7130        pNG7130            127001    126444       rev
png7131        pNG7131            127441    127004       rev
png7132        pNG7132            128622    128038       rev
png7133        pNG7133            128864    129265       for
png7134        trxA2              129430    129786       for
png7136        noxA1              130002    131423       for
png7137        ctpA               134024    131445       rev
png7138        pNG7138            134681    134250       rev
png7139        usp13              135708    134809       rev
png7140        pNG7140            136411    135965       rev
png7141        pNG7141            136626    137102       for
png7142        usp31              137274    137693       for
png7144        pNG7144            137835    138152       for
png7145        nosL               138177    138776       for
png7146        pNG7146            138850    139374       for
png7148        pNG7148            140264    139455       rev
png7149        drrA-2             140986    140264       rev
png7150        nosD1              142896    140986       rev
png7151        fdhA               143102    145168       for
png7152        pNG7152            145471    145779       for
png7098        pNG7098             98929     98453       rev
png7099        cpt                 99728     98958       rev
png7100        pNG7100            100157     99777       rev
png7101        adh8               102210    100210       rev
png7102        pNG7102            102267    103133       for
png7103        adh7               103269    104255       for
png7104        pNG7104            104495    104662       for
png7105        pNG7105            104662    105726       for
png7106        pNG7106            105804    106619       for
png7107        pNG7107            107164    106724       rev
png7108        pNG7108            107635    107423       rev
png7109        pNG7109            107761    108108       for
png7110        pNG7110            108376    109329       for
png7111        pNG7111            109499    110524       for
png7113        pNG7113            111091    110621       rev
png7114        pNG7114            111173    111859       for
png7115        pNG7115            112697    111936       rev
png7116        nthC               113006    113704       for
png7117        sdt                115337    113925       rev
png7118        livF-1             116216    115518       rev
png7119        livG-1             117019    116216       rev
png7120        livM-1             118173    117022       rev
png7121        livH-1             119112    118177       rev
png7122        livJ               120422    119118       rev
png7123        ureB               121055    121468       for
png7124        ureC               121468    123171       for
png7066        prp2                74264     75367       for
png7067        speB2               75558     76661       for
png7068        pNG7068             76887     77492       for
png7069        pNG7069             77695     78099       for
png7071        fabG                79116     78190       rev
png7072        fabG7               79373     80035       for
png7073        qgd                 81737     80532       rev
png7074        pNG7074             82185     81814       rev
png7075        pNG7075             82583     82251       rev
png7076        pNG7076             83807     82704       rev
png7077        rnh                 83893     84564       for
png7078        trxB1               84518     85756       for
png7081        pNG7081             86184     85825       rev
png7082        pNG7082             86682     88034       for
png7083        usp23               88158     88589       for
png7084        htr8                90577     88667       rev
png7085        pNG7085             91279     91473       for
png7086        pNG7086             91845     91585       rev
png7087        pNG7087             92121     91912       rev
png7088        qad                 92317     93537       for
png7090        pNG7090             93547     94164       for
png7091        pNG7091             95494     94199       rev
png7092        pNG7092             95648     96076       for
png7094        pNG7094             96375     96154       rev
png7095        pNG7095             96569     97018       for
png7096        camH1               97500     98255       for
png7039        pNG7039             47648     48889       for
png7040        pNG7040             49072     50067       for
png7041        pNG7041             50067     51269       for
png7043        csbC                51382     52758       for
png7044        pNG7044             53681     52809       rev
png7045        pNG7045             54155     53805       rev
png7046        pNG7046             54302     54802       for
png7047        pNG7047             55407     55048       rev
png7048        pNG7048             56404     55508       rev
png7049        pNG7049             58003     56573       rev
png7050        drrA-1              58700     57999       rev
png7051        pNG7051             59194     60516       for
png7052        rdxA                60761     61375       for
png7053        pNG7053             61450     60767       rev
png7054        pNG7054             61952     61788       rev
png7055        pNG7055             62019     62825       for
png7056        pNG7056             63890     62883       rev
png7057        dsbD                64713     64057       rev
png7058        pNG7058             65215     64718       rev
png7059        prrC                65916     65242       rev
png7060        fmdA                66423     67721       for
png7061        cctA1               67759     69372       for
png7062        usp12               70165     69434       rev
png7063        cat1                71598     70171       rev
png7064        pNG7064             71815     72288       for
png7065        putP-1              73891     72374       rev
png7010        pNG7010             14406     13432       rev
png7011        wecB                15820     14708       rev
png7012        ugd1                16998     15976       rev
png7013        dpm3                18790     17474       rev
png7014        galE3               19141     20067       for
png7015        ttuD                20651     21982       for
png7016        pNG7016             22103     23458       for
png7017        pNG7017             25866     23689       rev
png7018        pNG7018             26390     25872       rev
png7019        pNG7019             26717     27157       for
png7021        kdgR1               29092     28328       rev
png7022        adh1                30559     29528       rev
png7023        rbsB-1              30902     32350       for
png7024        sugA                32390     33319       for
png7025        malFG-1             33322     34197       for
png7026        msmX-1              34292     35449       for
png7027        fucA                35510     36160       for
png7029        rhaB                36196     37668       for
png7030        fabG3               38483     37680       rev
png7031        dgoA1               38486     39718       for
png7032        adh10               39789     40817       for
png7033        yvbT                41251     42276       for
png7034        pNG7034             44960     42558       rev
png7036        pNG7036             46322     46459       for
png7037        ndhF                46674     44953       rev
png7038        trh2                47351     46881       rev
png6172        pNG6172            132656    132159       rev
png6173        pNG6173            132688    133260       for
png6174        cdc6m              135135    133870       rev
png6175        pNG6175            135699    135875       for
png6176        polB2              137627    135474       rev
png6177        pNG6177            138323    137901       rev
png6178        pNG6178            138643    138326       rev
png6179        pNG6179            139584    138649       rev
png6180        pNG6180            139857    140444       for
png6181        pNG6181            140773    141996       for
png6182        pNG6182            142450    141971       rev
png6183        pNG6183            142737    143423       for
png6184        cdc6l              144470    143445       rev
png6185        pNG6185            148287    144652       rev
png6187        pNG6187            151185    148291       rev
png6188        pNG6188            151818    151204       rev
png6189        pNG6189            155108    151818       rev
png6190        pNG6190            155245    155108       rev
png7001        pNG7001               356       583       for
png7002        pNG7002               583      3066       for
png7003        pNG7003              4503      3142       rev
png7004        pNG7004              6574      4757       rev
png7005        pNG7005              8243      7269       rev
png7006        pNG7006              8628     10112       for
png7007        pNG7007             10190     10504       for
png7008        gtr-1               10674     11888       for
png7009        ypjH-1              13119     11914       rev
png6142        pNG6142            110487    111434       for
png6143        mrr                112838    111477       rev
png6144        pNG6144            112976    113419       for
png6145        pNG6145            113419    113970       for
png6146        pNG6146            114052    114735       for
png6147        pNG6147            114738    114866       for
png6149        pNG6149            115067    115528       for
png6150        pNG6150            116067    115633       rev
png6151        pNG6151            116122    116508       for
png6153        pNG6153            116664    117866       for
png6154        hyrA1              118466    117915       rev
png6155        pNG6155            118912    118571       rev
png6156        merA               118991    120442       for
png6157        copG2              120856    120452       rev
png6158        pNG6158            120960    121784       for
png6160        pNG6160            122333    121737       rev
png6161        copA5              122465    124738       for
png6162        pNG6162            125022    124741       rev
png6163        pNG6163            125076    125288       for
png6164        pNG6164            125415    126413       for
png6165        ltrC               126923    127846       for
png6166        pNG6166            127960    128772       for
png6167        pNG6167            128919    129683       for
png6168        pNG6168            129785    130258       for
png6169        pNG6169            130436    131281       for
png6170        pNG6170            131353    131670       for
png6113        pNG6113             93640     93963       for
png6114        pNG6114             93870     93544       rev
png6115        pNG6115             94117     94470       for
png6116        pNG6116             94611     94054       rev
png6117        pNG6117             94480     94806       for
png6119        pNG6119             95403     95047       rev
png6120        pNG6120             95679     96596       for
png6121        pNG6121             96831     98165       for
png6122        pNG6122             98923     98177       rev
png6123        tfbE                99133    100062       for
png6124        pNG6124            100329    101195       for
png6125        pNG6125            101937    101452       rev
png6126        pNG6126            102569    101958       rev
png6127        pNG6127            102642    102842       for
png6128        pNG6128            102842    103027       for
png6129        pNG6129            103117    103494       for
png6131        pNG6131            103565    104224       for
png6132        pNG6132            104265    104546       for
png6134        pNG6134            104611    105357       for
png6135        ctpC               105420    107780       for
png6136        pNG6136            107904    108323       for
png6137        pNG6137            108440    107949       rev
png6138        pNG6138            108435    108932       for
png6139        pNG6139            108942    109304       for
png6140        pNG6140            109380    109772       for
png6141        pNG6141            109858    110439       for
png7153        guaB1              146952    145846       rev
png7182        pNG7182            186258    184327       rev
png7183        pNG7183            186755    187351       for
png7185        pNG7185            188099    187386       rev
png7186        pNG7186            188348    188707       for
png7187        cdc6k              190487    189246       rev
png7188        pNG7188            192306    191593       rev
png7189        ndhG1              192336    193019       for
png7190        pNG7190            194261    193050       rev
png7191        gfo2               196362    195295       rev
png7192        phnM               197094    198236       for
png7193        pNG7193            198934    198302       rev
png7194        pNG7194            199716    199994       for
png7195        pNG7195            200389    202233       for
png7196        dpm4               202914    203399       for
png7197        pNG7197            203475    204398       for
png7198        wlaE               205580    204438       rev
png7199        lpb1               205824    207023       for
png7200        ypjH-2             207023    208261       for
png7201        pNG7201            208290    208436       for
png7202        pNG7202            208436    210241       for
png7203        pNG7203            211691    210279       rev
png7204        pNG7204            211891    213369       for
png7205        pNG7205            213491    214444       for
png7206        pNG7206            214584    215777       for
png7207        pNG7207            216369    217109       for
png7208        pNG7208            218434    217142       rev
png7209        pNG7209            218184    220493       for
png7210        pNG7210            220697    218406       rev
png7211        pNG7211            220701    221744       for
png7212        pNG7212            221831    220920       rev
png7213        pNG7213            222497    222000       rev
png7214        rfbX               224061    222559       rev
png7215        gfo3               225435    224302       rev
png7216        pNG7216            225964    226134       for
png7217        pNG7217            227040    226237       rev
png7218        rffH4              228565    227816       rev
png7219        pNG7219            228869    228672       rev
png7220        pNG7220            230088    230204       for
png7221        pNG7221            230804    230253       rev
png7222        pNG7222            231827    231567       rev
png7223        boa                235061    231900       rev
png7224        pNG7224            235609    236253       for
png7225        pNG7225            236253    238040       for
png7226        pNG7226            238200    239021       for
png7227        nadE2              239676    240284       for
png7228        rps17E             240432    240626       for
png7229        pNG7229            240749    242080       for
png7231        phnD1              242990    242115       rev
png7233        phnC1              243309    242986       rev
png7234        phnD2              244676    243804       rev
png7235        ern1               245146    244769       rev
png7236        glmU               245796    245182       rev
png7237        pNG7237            246625    245846       rev
png7238        pNG7238            246720    246965       for
png7239        selD               247358    248008       for
png7240        pNG7240            249851    249609       rev
png7241        pNG7241            249609    248032       rev
png7242        dsrE/dsrF_2        250207    249857       rev
png7243        dsrE/dsrF_1        250575    250207       rev
png7244        xdhD1              252842    250680       rev
png7245        iorA               253732    253157       rev
png7246        xdhD2              256300    253853       rev
png7247        cutC               256871    256296       rev
png7248        amaB               258307    257078       rev
png7249        ureX               258457    260169       for
png7250        bmp-1              261399    260284       rev
png7251        bmp-2              262737    261598       rev
png7252        rbsA               262917    264701       for
png7253        rbsC-1             264704    265801       for
png7254        rbsC-2             265804    266793       for
png7255        mer4               266896    267927       for
png7256        pbuX               269446    268043       rev
png7257        thrC2              270937    269681       rev
png7258        pyrC               272440    271100       rev
png7259        trzA1              272613    273878       for
png7260        pNG7260            274189    275112       for
png7262        pNG7262            275203    276048       for
png7263        pNG7263            277031    276264       rev
png7264        pNG7264            277138    277608       for
png7265        fadD2              279533    277683       rev
png7266        pNG7266            279618    280049       for
png7267        pNG7267            280207    280482       for
png7268        pNG7268            280632    281246       for
png7269        pNG7269            281375    281641       for
png7270        pNG7270            281951    282937       for
png7272        pNG7272            282994    284451       for
png7273        trxB5              284722    285699       for
png7274        pNG7274            285641    286807       for
png7275        fhuG1              285702    286814       for
png7276        fhuG2              286817    287746       for
png7277        pNG7277            287875    289077       for
png7278        adh12              290679    289528       rev
png7279        pNG7279            290657    291253       for
png7280        pNG7280            291542    292027       for
png7281        pNG7281            292039    291572       rev
png7282        pNG7282            292959    292126       rev
png7283        lctP               293537    295312       for
png7284        glcD3              295358    298399       for
png7285        pNG7285            298835    298437       rev
png7286        pNG7286            300622    298871       rev
png7287        pNG7287            301203    300634       rev
