canonical_name	common_name	start	stop direction
VNG1407C	VNG1407C	1045627	1046022	For
VNG1409C	VNG1409C	1048271	1049410	For
VNG1429C	VNG1429C	1062600	1063607	For
VNG1431C	VNG1431C	1063672	1064340	For
VNG1451C	VNG1451C	1074878	1075957	For
VNG1471C	VNG1471C	1091633	1092454	For
VNG1475C	VNG1475C	1096286	1097938	For
VNG1476C	VNG1476C	1097962	1100199	For
VNG1492C	VNG1492C	1107931	1108497	For
VNG1497C	VNG1497C	1112065	1113015	For
VNG1503C	VNG1503C	1116360	1117100	For
VNG1561C	VNG1561C	1163398	1163994	For
VNG1572C	VNG1572C	1174064	1174963	For
VNG1577C	VNG1577C	1178690	1179145	For
VNG1589C	VNG1589C	1188524	1188934	For
VNG1608C	VNG1608C	1197636	1198196	For
VNG1610C	VNG1610C	1199058	1199900	For
VNG1611C	VNG1611C	1199977	1200561	For
VNG1626C	VNG1626C	1212650	1213411	For
VNG1688C	VNG1688C	1258177	1259025	For
VNG1735C	VNG1735C	1283837	1284619	For
VNG1740C	VNG1740C	1286560	1287534	For
VNG1746C	VNG1746C	1289265	1289951	For
VNG1779C	VNG1779C	1317052	1317957	For
VNG1782C	VNG1782C	1319025	1319996	For
VNG1788C	VNG1788C	1324332	1325252	For
VNG1795C	VNG1795C	1330778	1332091	For
VNG1843C	VNG1843C	1360326	1360979	For
VNG1861C	VNG1861C	1375087	1376382	For
VNG1880C	VNG1880C	1389042	1390559	For
VNG1894C	VNG1894C	1400742	1402346	For
VNG1896C	VNG1896C	1402807	1404603	For
VNG1898C	VNG1898C	1404628	1405077	For
VNG1900C	VNG1900C	1406440	1407285	For
VNG1901C	VNG1901C	1407337	1408269	For
VNG1935C	VNG1935C	1426359	1426985	For
VNG1937C	VNG1937C	1427030	1428145	For
VNG1941C	VNG1941C	1431151	1432227	For
VNG1982C	VNG1982C	1463506	1464780	For
VNG1986C	VNG1986C	1467161	1467910	For
VNG2015C	VNG2015C	1488724	1489446	For
VNG2021C	VNG2021C	1493620	1495095	For
VNG2097C	VNG2097C	1540767	1541969	For
VNG2112C	VNG2112C	1551547	1552374	For
VNG2121C	VNG2121C	1558353	1558967	For
VNG2155C	VNG2155C	1588750	1589754	For
VNG2157C	VNG2157C	1591620	1592102	For
VNG2160C	VNG2160C	1593632	1595050	For
VNG2162C	VNG2162C	1595055	1595624	For
VNG2259C	VNG2259C	1680625	1682100	For
VNG2274C	VNG2274C	1693780	1694010	For
VNG2282C	VNG2282C	1698333	1699139	For
VNG2296C	VNG2296C	1713014	1713499	For
VNG2307C	VNG2307C	1719630	1720808	For
VNG2312C	VNG2312C	1723198	1723791	For
VNG2316C	VNG2316C	1726551	1727156	For
VNG2329C	VNG2329C	1736162	1736686	For
VNG2333C	VNG2333C	1739430	1740854	For
VNG2351C	VNG2351C	1759702	1760556	For
VNG2369C	VNG2369C	1776518	1776757	For
VNG2371C	VNG2371C	1777089	1777670	For
VNG2395C	VNG2395C	1796340	1797395	For
VNG2444C	VNG2444C	1834499	1835104	For
VNG2454C	VNG2454C	1839321	1839734	For
VNG2466C	VNG2466C	1845475	1846275	For
VNG2468C	VNG2468C	1846853	1847641	For
VNG2474C	VNG2474C	1850921	1852021	For
VNG2475C	VNG2475C	1852017	1853054	For
VNG2493C	VNG2493C	1864085	1864885	For
VNG2502C	VNG2502C	1868371	1869549	For
VNG2508C	VNG2508C	1874236	1874544	For
VNG2516C	VNG2516C	1886292	1887200	For
VNG2534C	VNG2534C	1901458	1902315	For
VNG2541C	VNG2541C	1905414	1906301	For
VNG2577C	VNG2577C	1933410	1933829	For
VNG2580C	VNG2580C	1934329	1934904	For
VNG2591C	VNG2591C	1939254	1940126	For
VNG2594C	VNG2594C	1941587	1941937	For
VNG2610C	VNG2610C	1950650	1951168	For
VNG2627C	VNG2627C	1965903	1967315	For
VNG2653C	VNG2653C	1989233	1989628	For
VNG0641C	VNG0641C	489561	489818	For
VNG0692C	VNG0692C	526686	527153	For
VNG1086C	VNG1086C	831651	831926	For
VNG1117C	VNG1117C	851896	852876	For
VNG1699C	VNG1699C	1263804	1264172	For
VNG1823C	VNG1823C	1347731	1348435	For
VNG2075C	VNG2075C	1526221	1526799	For
VNG0014C	VNG0014C	12978	13184	For
VNG0028C	VNG0028C	23336	23887	For
VNG0045C	VNG0045C	38017	39429	For
VNG0050C	VNG0050C	42707	44146	For
VNG0061C	VNG0061C	58827	60179	For
VNG0073C	VNG0073C	67908	68201	For
VNG0124C	VNG0124C	106009	106788	For
VNG0271C	VNG0271C	219360	220451	For
VNG0285C	VNG0285C	229052	229438	For
VNG0450C	VNG0450C	346978	347352	For
VNG0505C	VNG0505C	391432	392529	For
VNG0542C	VNG0542C	419196	420485	For
VNG0574C	VNG0574C	442210	442464	For
VNG0668C	VNG0668C	508660	509553	For
VNG0713C	VNG0713C	537212	537904	For
VNG0819C	VNG0819C	618648	620330	For
VNG0832C	VNG0832C	632047	632622	For
VNG0932C	VNG0932C	710638	711027	For
VNG1020C	VNG1020C	782045	782893	For
VNG1024C	VNG1024C	784713	785117	For
VNG1260C	VNG1260C	949462	949743	For
VNG1263C	VNG1263C	950618	950857	For
VNG1272C	VNG1272C	955464	956879	For
VNG1339C	VNG1339C	997742	999304	For
VNG1418C	VNG1418C	1057123	1058418	For
VNG1457C	VNG1457C	1080325	1081035	For
VNG1581C	VNG1581C	1180811	1181377	For
VNG1583C	VNG1583C	1182401	1183093	For
VNG1663C	VNG1663C	1239515	1240654	For
VNG1670C	VNG1670C	1245442	1245894	For
VNG1743C	VNG1743C	1287622	1288278	For
VNG1793C	VNG1793C	1326538	1327443	For
VNG1845C	VNG1845C	1362289	1363227	For
VNG1874C	VNG1874C	1385685	1386206	For
VNG1877C	VNG1877C	1387529	1387843	For
VNG2019C	VNG2019C	1491180	1492979	For
VNG2255C	VNG2255C	1677818	1678492	For
VNG2488C	VNG2488C	1861805	1862704	For
VNG2549C	VNG2549C	1911770	1912897	For
VNG2589C	VNG2589C	1938030	1938770	For
VNG0368C	VNG0368C	288491	289003	For
VNG0424C	VNG0424C	328415	328804	For
VNG2337C	VNG2337C	1745788	1746135	For
VNG2452C	VNG2452C	1838756	1839325	For
VNG2470C	VNG2470C	1847641	1847946	For
VNG2555C	VNG2555C	1916695	1917270	For
VNG0002G	yvrO	1450	2112	For
VNG0047G	graD6	41063	41716	For
VNG0064G	graD3	62927	63640	For
VNG0065G	gmd	63881	64807	For
VNG0081G	moaE	71811	72701	For
VNG0097G	hsp2	82540	82923	For
VNG0106G	rmeM	87668	89164	For
VNG0107G	rmeS	89160	90584	For
VNG0115G	yusZ1	98226	99005	For
VNG0123G	trp1	104073	105998	For
VNG0129G	hsp5	108694	109560	For
VNG0133G	rpa	110769	112190	For
VNG0134G	hpyA	112247	112696	For
VNG0136G	aup	112696	113709	For
VNG0149G	zntA	120602	122872	For
VNG0157G	oxlT	128484	129713	For
VNG0160G	boa1	132683	135274	For
VNG0161G	gdhB	135504	136790	For
VNG0162G	alkK	136676	138475	For
VNG0166G	psmA2	142335	143093	For
VNG0174G	cat1	148838	151165	For
VNG0175G	trkA1	151174	151857	For
VNG0181G	lpl	156613	157428	For
VNG0183G	xthA	157481	158305	For
VNG0186G	pepB1	159342	160430	For
VNG0226G	htrA	191310	192377	For
VNG0228G	guaAa	192826	193374	For
VNG0245G	dtd	201025	201609	For
VNG0259G	ipp	211101	211631	For
VNG0277G	crtI3	221649	223271	For
VNG0281G	soxB	224467	225585	For
VNG0294G	pnm	233317	233838	For
VNG0303G	lon	237843	239948	For
VNG0305G	trpC	240541	241293	For
VNG0307G	trpB	241293	242582	For
VNG0308G	trpA	242798	243409	For
VNG0335G	gptA1	264253	264942	For
VNG0345G	gatB2	272907	274391	For
VNG0349G	topA	275992	277980	For
VNG0363G	nfi	285278	286069	For
VNG0364G	yusZ3	286131	286949	For
VNG0371G	acd1	290169	291536	For
VNG0382G	aroE	296344	297141	For
VNG0384G	trpE2	297545	299008	For
VNG0387G	ilvE1	299568	300422	For
VNG0390G	graD1	301248	302273	For
VNG0398G	nthA1	305902	306696	For
VNG0403G	proS	309915	311309	For
VNG0410G	rfbU2	318208	319272	For
VNG0425G	pimT2	328807	329520	For
VNG0427G	yfmO2	330079	331338	For
VNG0446G	gcd	345205	346272	For
VNG0448G	pyrC	346272	346907	For
VNG0458G	prp1	352883	353884	For
VNG0459G	nodP	353960	354928	For
VNG0461G	aspS	355258	356565	For
VNG0484G	acs1	374853	376820	For
VNG0500G	ppd	386009	386752	For
VNG0502G	aspB1	388169	389287	For
VNG0512G	ppe	395945	397105	For
VNG0521G	polB1	401122	403824	For
VNG0524G	yurY	404888	405811	For
VNG0530G	troR	409159	409590	For
VNG0556G	sgb	428425	429978	For
VNG0575G	ywaD	442518	443816	For
VNG0606G	yrhA	460913	461734	For
VNG0623G	yngE	474797	476569	For
VNG0627G	citE	477499	478407	For
VNG0628G	gdhA1	478615	479730	For
VNG0632G	purK	483366	484457	For
VNG0633G	purE	484457	485065	For
VNG0635G	nolB	485194	485601	For
VNG0637G	ndhG5	486301	487986	For
VNG0639G	ndhG4	488101	489042	For
VNG0646G	nuoL	490430	492505	For
VNG0647G	nuoM	492509	494065	For
VNG0648G	ndhG3	494341	495549	For
VNG0651G	imd1	497085	497900	For
VNG0653G	mcmA1	498404	499981	For
VNG0662G	coxC	503953	504807	For
VNG0664G	birL	504860	505705	For
VNG0666G	ctaB	506634	507959	For
VNG0667G	trp4	507963	508616	For
VNG0673G	mcmA2	511535	511948	For
VNG0680G	fdfT	516984	518153	For
VNG0684G	fbp	520705	521565	For
VNG0689G	trp5	523515	524375	For
VNG0694G	nthB	527209	527622	For
VNG0700G	yvgX	528770	531340	For
VNG0715G	thiC	537985	539412	For
VNG0719G	araL	542178	543041	For
VNG0735G	hlx2	554704	555288	For
VNG0736G	kinA2	555295	557205	For
VNG0757G	tfeA	573224	573766	For
VNG0761G	dip3	575197	575889	For
VNG0763G	ybjG	576121	576744	For
VNG0766G	prp2	578203	579228	For
VNG0775G	acd2	583046	584182	For
VNG0786G	pcy	590830	591276	For
VNG0795G	hcpC	598271	598741	For
VNG0796G	cgs	598879	600093	For
VNG0812G	htr18	609588	611957	For
VNG0813G	potD	611957	613204	For
VNG0815G	yfmJ	613864	615003	For
VNG0816G	chi	615200	616837	For
VNG0829G	dmsA	627445	629955	For
VNG0830G	hmoA	629955	630740	For
VNG0831G	moz	630743	632047	For
VNG0838G	ssrA	637192	638262	For
VNG0860G	rpoL	650181	650462	For
VNG0867G	asnA	654935	656014	For
VNG0870G	gatC	657575	657958	For
VNG0872G	gatA	657961	659229	For
VNG0874G	traB	659810	661321	For
VNG0876G	purM	661987	662979	For
VNG0880G	psmA1	664212	664976	For
VNG0881G	lig	665121	666803	For
VNG0882G	pho2	666996	667631	For
VNG0887G	gyrB	672176	674008	For
VNG0889G	gyrA	674013	676484	For
VNG0890G	imd2	676676	677206	For
VNG0891G	yjlD	677255	678421	For
VNG0908G	putP	687787	689352	For
VNG0915G	hakA	692869	694059	For
VNG0919G	gst	698097	698783	For
VNG0930G	yvbT	708396	709409	For
VNG0931G	acaB2	709490	710638	For
VNG0937G	gap	714164	715603	For
VNG0940G	acs3	717143	718768	For
VNG0960G	flaB1	731799	732377	For
VNG0961G	flaB2	732464	732979	For
VNG0962G	flaB3	733066	733572	For
VNG0963G	cpcE	733804	734862	For
VNG0996G	boa4	760682	762484	For
VNG0997G	acs2	762609	764609	For
VNG1008G	flaA1a	773360	773947	For
VNG1014G	yqjH	777110	778450	For
VNG1018G	adh3	780246	782045	For
VNG1054G	ptp	800415	801839	For
VNG1055G	graD4	801935	802654	For
VNG1062G	rfbQ	808831	809727	For
VNG1089G	purA	834481	835800	For
VNG1097G	cysS	840757	842238	For
VNG1111G	drg	848173	849282	For
VNG1114G	glo1	849749	850531	For
VNG1121G	aspC2	853986	855158	For
VNG1133G	rps4p	860790	861299	For
VNG1136G	rpb3	861696	862439	For
VNG1137G	rpl18e	862694	863044	For
VNG1139G	rps9p	863589	863870	For
VNG1141G	rpoK	864089	864268	For
VNG1142G	eno	864273	865466	For
VNG1143G	rps2p	865466	866212	For
VNG1145G	mvk	867210	868199	For
VNG1148G	argB	868199	868933	For
VNG1150G	idsA	870501	871541	For
VNG1153G	gltS	871960	873717	For
VNG1158G	rps28e	877120	877257	For
VNG1160G	ndk	877445	877927	For
VNG1172G	metB	883195	884373	For
VNG1174G	nop58	886911	887741	For
VNG1176G	fib	887741	888370	For
VNG1180G	msrA	889326	889856	For
VNG1181G	flaA1b	889903	890523	For
VNG1185G	pqqE	892721	893788	For
VNG1187G	pan1	893923	895059	For
VNG1188G	hcpD	895069	895683	For
VNG1191G	acd3	897119	898138	For
VNG1208G	hutU	907743	909506	For
VNG1209G	hutG	909509	910426	For
VNG1211G	hutI	910426	911676	For
VNG1212G	hutH	911868	913250	For
VNG1219G	urk	918850	919593	For
VNG1224G	orc8	920669	921859	For
VNG1233G	pepQ2	926974	928146	For
VNG1240G	yhdG	932862	935045	For
VNG1241G	surE	935124	935897	For
VNG1256G	ribG	947257	947916	For
VNG1266G	ogg	951404	952306	For
VNG1273G	moaC	956875	957363	For
VNG1305G	purD	975273	976562	For
VNG1313G	hbd2	980918	982894	For
VNG1320G	cbp	986348	987502	For
VNG1327G	fprA	992165	992740	For
VNG1341G	fabG	1000227	1000991	For
VNG1342G	mer	1001270	1002004	For
VNG1351G	trh6	1006932	1007414	For
VNG1364G	ocd2	1015496	1016479	For
VNG1370G	hemU	1019209	1020315	For
VNG1371G	hemV2	1020456	1021508	For
VNG1374G	kinA1	1023071	1024888	For
VNG1383G	rad3a	1030786	1033185	For
VNG1385G	yvoF	1033416	1033931	For
VNG1404G	trh1	1043067	1043465	For
VNG1414G	glyA	1053950	1055221	For
VNG1416G	folD	1055397	1056287	For
VNG1432G	dhs	1064474	1065463	For
VNG1435G	asd	1065778	1066806	For
VNG1444G	hisD	1070493	1071767	For
VNG1450G	yfkN	1073658	1074830	For
VNG1463G	blp	1085033	1085458	For
VNG1467G	bop	1089122	1089907	For
VNG1470G	pri	1090362	1091633	For
VNG1474G	est	1095190	1096011	For
VNG1481G	sat	1102027	1102539	For
VNG1488G	boa2	1106448	1107092	For
VNG1501G	hel	1113845	1116307	For
VNG1523G	htr8	1129509	1131437	For
VNG1528G	nac	1136003	1137433	For
VNG1529G	mmdA	1137505	1139052	For
VNG1532G	acc	1139423	1141252	For
VNG1535G	birL	1143893	1144837	For
VNG1541G	sucC	1148259	1149527	For
VNG1542G	sucD	1149527	1150393	For
VNG1543G	zim	1150451	1151494	For
VNG1550G	cbiT	1156903	1157463	For
VNG1551G	cbiL	1157463	1158164	For
VNG1553G	cbiF	1158160	1159023	For
VNG1554G	cbiG	1159023	1159997	For
VNG1555G	cobH	1159997	1160824	For
VNG1557G	cbiH	1160827	1161831	For
VNG1566G	cobN	1167897	1171598	For
VNG1567G	cbiC	1171591	1172301	For
VNG1568G	cbiJ	1172301	1173050	For
VNG1573G	cbiA	1174953	1176275	For
VNG1574G	cobI	1176275	1176949	For
VNG1576G	cbiP	1176954	1178489	For
VNG1582G	hisC2	1181398	1182405	For
VNG1615G	mvaB	1202684	1204018	For
VNG1622G	rfcB	1207038	1208540	For
VNG1624G	mdh	1209504	1211753	For
VNG1637G	hcpA	1217584	1218438	For
VNG1659G	htr1	1237084	1238691	For
VNG1660G	sop1	1238694	1239410	For
VNG1667G	cdc48c	1242669	1244894	For
VNG1673G	pyrF	1246366	1247166	For
VNG1676G	gbp2	1248609	1250228	For
VNG1680G	crtB2	1251280	1252245	For
VNG1690G	rpl4e	1260044	1260793	For
VNG1692G	rpl2p	1261050	1261769	For
VNG1695G	rpl22p	1262202	1262669	For
VNG1698G	rpl29p	1263580	1263792	For
VNG1700G	rps17p	1264166	1264492	For
VNG1702G	rpl24p	1264898	1265251	For
VNG1705G	rpl5p	1265949	1266473	For
VNG1707G	rps8p	1266730	1267023	For
VNG1711G	rpl32e	1267570	1268286	For
VNG1714G	rpl18p	1268731	1269279	For
VNG1716G	rpl30p	1269924	1270385	For
VNG1719G	secY	1270859	1272331	For
VNG1724G	adk	1276049	1276696	For
VNG1726G	htlB	1276763	1277632	For
VNG1727G	cmk	1277691	1278266	For
VNG1729G	sus	1278271	1279173	For
VNG1739G	htlC	1285676	1286512	For
VNG1749G	gbp1	1290751	1291938	For
VNG1756G	eif1a2	1296538	1296786	For
VNG1759G	htr7	1297280	1298914	For
VNG1785G	panF	1321603	1323048	For
VNG1804G	noxA	1335461	1336711	For
VNG1814G	carB	1339799	1342924	For
VNG1816G	trh3	1344157	1344567	For
VNG1818G	idi	1344598	1345236	For
VNG1822G	moaB	1347117	1347731	For
VNG1834G	hyrA	1353443	1354078	For
VNG1836G	cspD2	1356243	1356449	For
VNG1844G	ansA	1361018	1362298	For
VNG1847G	pchA	1364265	1365497	For
VNG1859G	deoC	1374390	1375025	For
VNG1871G	potA2	1382218	1383339	For
VNG1873G	icd	1384332	1385597	For
VNG1879G	thb	1387843	1388988	For
VNG1882G	nadA	1390684	1391805	For
VNG1883G	nadB	1391811	1393337	For
VNG1884G	nadC	1393327	1394130	For
VNG1893G	trp2	1399992	1400738	For
VNG1912G	trpD2	1415175	1416230	For
VNG1914G	ppiA	1416274	1416840	For
VNG1932G	nolA	1423334	1424242	For
VNG1933G	ftsZ3	1424535	1425584	For
VNG1939G	purC	1429637	1430677	For
VNG1946G	purU	1433893	1434801	For
VNG1969G	gpdA2	1452915	1454624	For
VNG1971G	gpdB	1454617	1455897	For
VNG1972G	gpdC	1455893	1457287	For
VNG1984G	rnh	1464785	1465420	For
VNG1992G	pgi	1471603	1472880	For
VNG1997G	infB	1474858	1476657	For
VNG2011G	thiL	1486031	1486894	For
VNG2017G	lysS	1489454	1491097	For
VNG2025G	yyaI	1496766	1497677	For
VNG2031G	nadE	1499405	1500208	For
VNG2065G	dgs	1518251	1519021	For
VNG2072G	serS	1524404	1525825	For
VNG2082G	polC	1529534	1530142	For
VNG2087G	hisH2	1532987	1533838	For
VNG2088G	trm1	1534374	1535486	For
VNG2094G	trh4	1538241	1538702	For
VNG2104G	pchB	1546022	1547275	For
VNG2108G	thrC3	1548632	1549720	For
VNG2120G	yusM	1557442	1558278	For
VNG2123G	nhaC2	1560066	1561538	For
VNG2131G	erf1	1567067	1568380	For
VNG2150G	etfB	1584077	1584874	For
VNG2151G	etfA	1584874	1585839	For
VNG2153G	fps	1586648	1587547	For
VNG2158G	oxrA	1592154	1592936	For
VNG2173G	rad24a	1605490	1607265	For
VNG2181G	mcm	1613953	1616445	For
VNG2190G	ileS	1621029	1624238	For
VNG2201G	cpx	1629182	1631584	For
VNG2206G	pmu1	1635310	1636674	For
VNG2216G	lip	1645123	1646055	For
VNG2217G	pdhA2	1646140	1647396	For
VNG2218G	pdhB	1647485	1648375	For
VNG2219G	dsa	1648380	1649813	For
VNG2220G	lpdA	1649819	1651240	For
VNG2222G	pheA	1651293	1652102	For
VNG2240G	rfcC	1667940	1668941	For
VNG2243G	tbpE	1670410	1670967	For
VNG2249G	trzA	1673284	1674576	For
VNG2251G	achY	1674660	1675940	For
VNG2252G	hjr	1676048	1676470	For
VNG2263G	ftsJ	1684061	1684837	For
VNG2269G	tatC1	1688071	1689102	For
VNG2270G	mutS3	1689152	1691158	For
VNG2271G	orc6	1691265	1692386	For
VNG2272G	rpi	1692434	1693108	For
VNG2276G	pmm	1694075	1695445	For
VNG2280G	rfcA	1696383	1697348	For
VNG2283G	alaS	1699204	1701990	For
VNG2286G	mamA	1703613	1704059	For
VNG2288G	mamB	1704069	1705496	For
VNG2289G	mal	1705499	1706752	For
VNG2290G	maoC1	1706814	1707437	For
VNG2291G	cat	1707437	1708909	For
VNG2294G	hisA	1710976	1711701	For
VNG2295G	hisB	1711756	1712343	For
VNG2301G	txrB3	1714837	1715718	For
VNG2302G	yuxL	1715785	1717806	For
VNG2317G	cbiO1	1727159	1727854	For
VNG2322G	hem2	1731824	1732801	For
VNG2326G	hemL	1734261	1735595	For
VNG2330G	hem3	1736746	1737933	For
VNG2331G	uroM	1737938	1738675	For
VNG2332G	cysG	1738768	1739388	For
VNG2352G	glyS	1760552	1762279	For
VNG2356G	eif4a	1762885	1765236	For
VNG2358G	appA	1765447	1767405	For
VNG2359G	appB	1767435	1768412	For
VNG2361G	appC	1768417	1769574	For
VNG2363G	oppD1	1769799	1770599	For
VNG2365G	appF	1770599	1771918	For
VNG2367G	mdhA	1772642	1773553	For
VNG2368G	rad24b	1773915	1776263	For
VNG2372G	rad24c	1777719	1778399	For
VNG2381G	uvrC	1784408	1786177	For
VNG2394G	tssB	1795504	1796274	For
VNG2396G	cysT1	1797395	1799212	For
VNG2397G	cysA	1799212	1800240	For
VNG2411G	orc7	1807230	1808783	For
VNG2417G	polA1	1811590	1812765	For
VNG2418G	aspC1	1812830	1814002	For
VNG2420G	metA	1815268	1816470	For
VNG2421G	hal	1816543	1817835	For
VNG2422G	glcD	1817907	1820942	For
VNG2424G	serA1	1821747	1823327	For
VNG2426G	act	1823392	1823832	For
VNG2429G	dld	1824017	1825075	For
VNG2449G	pepB2	1837127	1838233	For
VNG2471G	nifS	1848020	1849264	For
VNG2472G	nifU	1849321	1849746	For
VNG2504G	pheS	1869757	1871262	For
VNG2505G	pheY	1871265	1872965	For
VNG2513G	aldY1	1883735	1885201	For
VNG2514G	rps6e	1885376	1885768	For
VNG2526G	dppF	1892426	1895254	For
VNG2527G	dppD	1895306	1897003	For
VNG2529G	dppB2	1897064	1898104	For
VNG2531G	dppC1	1898114	1899058	For
VNG2551G	fhuG	1912908	1914026	For
VNG2552G	yfmF	1914032	1914850	For
VNG2553G	yqeC	1915106	1916020	For
VNG2565G	trkH3	1922429	1923973	For
VNG2573G	hly	1928690	1930264	For
VNG2574G	can	1930439	1932421	For
VNG2600G	trxA2	1943660	1943926	For
VNG2602G	arsB	1944035	1945888	For
VNG2604G	thi1	1946451	1947248	For
VNG2606G	thiD	1947251	1948585	For
VNG2616G	cxp	1957549	1959054	For
VNG2617G	adh2	1959213	1960253	For
VNG2620G	uvrD	1960727	1962553	For
VNG2624G	ribC	1963879	1964532	For
VNG2632G	yusZ2	1969542	1970279	For
VNG2636G	uvrA	1971212	1974157	For
VNG2638G	bchP	1975213	1976292	For
VNG2647G	vacB	1982832	1984118	For
VNG2679G	csg	2011729	2014236	For
VNG0386G	trpG2	299464	299580	For
VNG0636G	ndhG1	485597	486301	For
VNG0643G	nolC	490126	490425	For
VNG1009G	flaA2	774034	774543	For
VNG1132G	rps13p	860275	860787	For
VNG1134G	rps11p	861369	861689	For
VNG1138G	rpl13p	863044	863478	For
VNG1157G	rps14p	876667	877026	For
VNG1159G	rpl24e	877260	877445	For
VNG1433G	rps17e	1065552	1065728	For
VNG1691G	rpl23p	1260793	1261044	For
VNG1693G	rps19p	1261776	1262195	For
VNG1697G	rps3p	1262672	1263577	For
VNG1703G	rps4e	1265251	1265949	For
VNG1709G	rpl6p	1267030	1267563	For
